age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,support_index,risk_behavior,engagement,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other
18,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,2,6,1.4,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
17,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,2,5,1.6,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
15,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,2,7,1.0,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False
15,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,2,4,2.8,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
16,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,2,5,1.6,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
16,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,2,5,1.0,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,True,False
16,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,1,6,2.0,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
17,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,3,6,1.4,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
15,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,2,4,2.0,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
15,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,2,3,2.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
15,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,2,6,2.0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False
15,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,2,4,2.6,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
15,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,2,7,0.8,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False
15,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,2,6,1.8,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
15,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,2,4,3.0,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
16,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,2,7,0.6,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
16,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,2,6,2.4,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
16,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,3,4,1.6,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False
17,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,2,11,-0.6000000000000001,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
16,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,1,7,0.6,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False
15,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,1,3,2.0,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False
15,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,2,4,1.0,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False
16,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,1,5,1.8,False,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False
16,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,2,10,2.0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False
15,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,3,4,2.8,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
16,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,2,6,-0.3999999999999999,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
15,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,2,5,0.8,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
15,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,1,10,0.6,False,True,True,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
16,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,3,5,1.6,False,True,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False
16,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,2,15,0.3999999999999999,False,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False
15,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,2,9,2.0,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
15,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,2,3,2.0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
15,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,2,4,2.0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
15,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,1,4,2.0,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False
16,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,2,5,1.0,False,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
15,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,2,3,1.0,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
15,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,2,5,2.8,False,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False
16,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,2,5,2.3,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
15,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,3,4,2.8,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
15,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,3,3,0.19999999999999996,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
16,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,2,6,-0.5,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
15,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,2,9,0.19999999999999996,False,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True
15,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,2,5,1.8,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
15,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,3,3,1.0,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
16,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,2,7,0.6000000000000001,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
15,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,3,4,1.2,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
16,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,2,10,0.8,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False
16,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,1,4,3.6,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False
15,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,2,7,1.8,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False
15,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,3,6,1.8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False
16,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,2,8,1.8,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False
15,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,2,5,1.8,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False
