student_index,risk_probability,actual_at_risk,shap_age,shap_Medu,shap_Fedu,shap_traveltime,shap_studytime,shap_failures,shap_schoolsup,shap_famsup,shap_paid,shap_activities,shap_nursery,shap_higher,shap_internet,shap_romantic,shap_famrel,shap_freetime,shap_goout,shap_Dalc,shap_Walc,shap_health,shap_absences,shap_support_index,shap_risk_behavior,shap_engagement,shap_school_MS,shap_sex_M,shap_address_U,shap_famsize_LE3,shap_Pstatus_T,shap_Mjob_health,shap_Mjob_other,shap_Mjob_services,shap_Mjob_teacher,shap_Fjob_health,shap_Fjob_other,shap_Fjob_services,shap_Fjob_teacher,shap_reason_home,shap_reason_other,shap_reason_reputation,shap_guardian_mother,shap_guardian_other
0,0.72828305,1,0.19334552,0.05585341,0.10205448,0.023676232,-0.0013038137,0.5919493,-0.008706577,-0.10631252,0.0032040554,-0.046713267,0.011378828,-0.0049453406,-0.013077211,-0.06451304,-0.06952263,0.07415709,-0.29192123,-0.027539093,-0.065833315,0.03246167,0.45933157,-0.08549631,-0.041166097,0.029181113,-0.0031742842,-0.08756694,0.09772254,0.03228208,0.024546865,0.0012049121,0.0184369,0.05682023,-0.015779609,-0.00072569784,0.011642426,0.07064564,0.0005446372,0.027348567,-0.12442227,0.022736022,0.009203421,0.006916641
1,0.23220335,0,-0.1258291,-0.14293894,0.045925803,-0.014064315,-0.027310273,-0.31011915,-0.032013185,-0.12137503,0.0086437,0.032556035,0.0057326336,-0.0025474236,-0.0048719356,-0.02836496,0.20275448,0.020874128,-0.03199117,-0.04857627,-0.0537333,0.022579607,-0.31302696,-0.14041214,0.047055252,-0.0017206309,0.0027077652,-0.08911334,-0.029966466,-0.054937065,0.015090639,-0.022907741,-0.0077951984,0.0760348,-0.030566888,-0.0018287065,-0.015487927,-0.029165661,0.0005446372,-0.07921357,0.007325068,0.011012313,-0.020702014,-0.0021724622
2,0.31477848,0,-0.11985688,0.019198535,0.032670934,-0.02080539,-0.020102553,-0.32247823,-0.029156152,0.03624794,-0.0007062743,0.010472634,0.014439322,-0.0018630703,-0.0035596169,-0.07348048,-0.022567429,0.045015432,-0.19852766,0.05137013,-0.036473434,0.02472145,-0.20574325,-0.026464915,0.12156681,0.07137023,0.0014300593,-0.08299872,0.12633003,0.01748763,0.016084367,0.0019575008,-0.013745066,-0.3142558,-0.028077263,-0.0015123554,0.019264553,0.051347706,0.0006119943,0.021920634,0.007714109,-0.041431084,0.00844958,-0.0017431832
3,0.70533544,1,-0.009838642,0.076350965,0.06696414,-0.026318623,0.014014444,0.49300322,-0.012881842,0.07391542,-0.006291149,-0.023889914,0.004843706,-0.0020380886,-7.4721174e-06,0.12267545,0.2314413,0.07068693,-0.20071268,-0.026032934,-0.016035743,0.028817575,0.5041522,-0.02055228,-0.19871438,-0.043345854,-0.0028627308,0.070002906,-0.033594135,0.031680174,-0.28205624,0.0006754358,-0.009021942,0.060244016,-0.020232784,-0.0015804918,0.007656666,-0.046051964,0.0006119943,-0.08353377,0.008181943,0.021972954,-0.04617895,0.008713027
4,0.63374794,1,-0.08163638,0.008282203,0.07289566,-0.0019623342,0.04022267,-0.21950853,0.16282526,0.07415854,-0.017513394,-0.021700272,0.0144801065,-0.0009486358,0.00064581854,-0.03214693,0.20989548,0.047772177,-0.02517358,0.045498446,-0.05364734,-0.006357885,-0.29369357,0.5395294,0.05869372,-0.013413362,0.003594286,0.06450155,-0.022365604,-0.04446222,0.023014076,0.0012294878,0.004816413,0.07501585,-0.026313776,-0.0018287065,-0.018936757,-0.021181,0.0006119943,-0.09829102,0.00806892,0.039062385,-0.031489037,-0.0019192765
5,0.703571,0,0.19314145,0.077338345,0.06938552,0.015356859,0.017004484,-0.2845813,-0.022605853,0.055843506,0.009482453,-0.025896158,0.008951893,-0.0045874105,-0.0011988905,-0.036440253,0.21047866,0.061882872,-0.040809702,0.04797786,-0.05464392,0.026060633,0.44439846,-0.0354502,0.15759072,-0.059239324,0.004459483,-0.10624967,-0.009878612,0.02971851,0.026526362,0.001634135,0.015485367,0.06649752,-0.023966078,-0.001984639,-0.01574198,-0.018402683,0.0006119943,-0.058691896,0.0086222,0.023158086,0.0072904793,-0.0021724622
6,0.6792004,0,0.18763812,-0.08172991,0.095167994,0.007064337,-0.031782087,1.192752,-0.018499244,0.048014842,0.0021717767,-0.018447492,-0.039376467,-0.0011905129,-0.00033568195,0.12725495,-0.16629574,0.019759366,-0.0555393,-0.03429249,0.05262353,0.013165678,-0.26665822,-0.045713138,-0.2259179,-0.090736404,-0.012099648,0.045054294,-0.032329015,0.029859835,0.01784021,-0.016421098,-0.024736065,0.04039565,-0.018254163,-0.00082098774,-0.015279012,-0.044438306,0.0003491269,0.022703944,0.0076854737,0.012945909,-0.029837966,0.010378599
7,0.4382215,0,0.15711764,0.0008498204,-0.2401887,0.005885504,0.0120871095,-0.27461436,-0.029454218,0.040797595,0.0040304293,0.027478492,0.0113735385,-0.0015961503,-0.0026226202,-0.04658301,0.003938831,0.027055262,0.115669906,0.06054704,-0.02171125,-0.23061065,0.0834155,-0.051158883,0.22438128,0.020200508,0.005018459,-0.036013458,0.042121936,-0.06260345,-0.21759842,0.00533352,0.022154901,0.078378566,-0.026099917,-0.0010217944,-0.020685483,-0.028386464,0.00036001997,0.0223263,0.0069238413,-0.025413183,0.004281623,-0.0017529675
8,0.45965645,1,0.12681776,-0.11186673,0.055152677,0.009098474,0.013837355,-0.25934154,-0.029415214,0.064449236,0.016976612,-0.03305835,0.010154204,-0.0014697859,-0.0013486047,0.051320076,0.0042678844,-0.026253995,0.1931146,-0.048137438,-0.012930669,-0.019338174,-0.19484282,-0.05489691,0.035499718,0.014342603,0.0038148551,0.044545922,-0.024639037,-0.08713411,0.023501195,0.004427488,0.022549722,0.08475537,-0.028626403,-0.0015981265,-0.019347662,-0.02320752,0.0006119943,-0.086731024,0.009250447,0.008725898,-0.035462268,0.052702196
9,0.6876005,0,-0.12705228,0.0853921,0.094437905,-0.0072827446,0.010964791,0.6470874,-0.016866662,-0.10597428,0.0033352037,-0.048181403,0.009373972,-0.0049590087,-0.0072198086,0.06739766,-0.026873482,0.035163026,0.24135609,-0.034183837,-0.07761192,0.014988326,0.48698044,-0.11120963,0.038704515,-0.055869825,-0.00058351824,-0.088369854,-0.033555318,-0.10303091,0.032126497,0.0025049364,-0.010620294,-0.21057478,-0.015552193,-0.0018084518,-0.015066546,-0.037708603,0.0005446372,0.02193316,0.0076277936,0.023322422,0.011299788,0.0065355585
