student_index,risk_probability,actual_at_risk,shap_age,shap_Medu,shap_Fedu,shap_traveltime,shap_studytime,shap_failures,shap_schoolsup,shap_famsup,shap_paid,shap_activities,shap_nursery,shap_higher,shap_internet,shap_romantic,shap_famrel,shap_freetime,shap_goout,shap_Dalc,shap_Walc,shap_health,shap_absences,shap_G1,shap_support_index,shap_risk_behavior,shap_engagement,shap_school_MS,shap_sex_M,shap_address_U,shap_famsize_LE3,shap_Pstatus_T,shap_Mjob_health,shap_Mjob_other,shap_Mjob_services,shap_Mjob_teacher,shap_Fjob_health,shap_Fjob_other,shap_Fjob_services,shap_Fjob_teacher,shap_reason_home,shap_reason_other,shap_reason_reputation,shap_guardian_mother,shap_guardian_other
0,0.84063405,1,0.0845041,0.00015789713,-0.0024518296,0.00492561,-0.007446116,0.21805899,0.035309654,-0.010698929,0.00052634196,-0.006136531,0.0027383233,0.0,0.012184945,-0.028047487,-0.00912834,0.012693549,-0.15140031,-0.00785586,-0.0023117147,0.006617706,0.074407846,1.3826454,-0.0050432486,0.016809708,-0.0021889503,0.00070459535,-0.0007193673,0.0078089996,0.012007954,0.001902298,6.356338e-05,0.0004113672,0.0025264933,-0.002530486,0.0,0.025778607,0.009078101,-0.0071115354,0.004153206,-0.018058782,0.00091274607,0.0017679445,-0.0018900195
1,0.63992363,0,-0.0700168,-0.0072161756,0.003697177,-0.0018789226,-0.014040843,-0.07091079,0.0036209452,-0.016018555,-0.00044591754,0.014197595,0.003151343,0.0,-0.0038751194,-0.01766862,0.07326534,0.010493124,0.031867858,-0.0029339888,0.00033628131,0.007626836,-0.14629385,0.8215165,-0.012340796,0.017493328,-0.012638787,-0.00022695788,0.000794173,-0.003480442,0.006434425,0.0022616428,-0.0011233636,-0.00024546531,0.0052420422,-0.0035540909,0.0,-0.025447905,-0.0016615381,-0.00734326,-0.008987145,0.0016201653,0.00012230354,-0.002017106,-0.0056172777
2,0.6368103,0,-0.06984062,-0.0021569156,0.002912364,-0.0020417287,-0.016132783,-0.084308654,0.0040695462,0.0074744984,0.00030888745,0.014197595,0.0031731955,0.0,-0.0038680262,-0.03224409,0.014140582,-3.2239943e-05,-0.12952955,0.0053515173,-0.0013100322,0.007728669,0.018562233,0.8080094,-0.0065258853,0.023976143,-0.012673709,-0.00022695788,0.0008913744,0.010904075,-0.0055570626,0.0016137565,0.00010517466,-0.00024546531,-0.022688435,-0.0032608309,0.0,0.030049384,0.0026360843,-0.00734326,0.002533338,0.0016889189,-0.0012047028,0.0007523382,-0.0056172777
3,0.7021348,1,-0.037140664,0.010300844,0.009816782,-0.0032093832,0.004452318,0.18026377,0.009937086,0.0033611758,0.003577968,-0.013828033,0.0048127407,0.0,-0.0045748726,0.05696688,0.06088621,0.012893553,-0.08995359,-0.003869102,-0.0020111229,0.009745529,0.049214125,0.66122323,-0.0047403635,-0.04731295,0.007446442,-0.007002351,-0.0015063793,-0.0045506656,-0.0037571257,-0.014500813,6.356338e-05,-0.00024546531,0.0028447537,-0.0026328822,0.0,0.033882182,-0.009611595,-0.007392245,-0.009298438,0.0015965397,0.00091274607,-0.0017158454,-0.0051356526
4,0.7249929,1,-0.053511165,-0.0018623116,0.00022352021,-0.0015889159,0.0071028722,-0.05833737,-0.04728157,0.008262174,-0.003645286,-0.010093216,0.0023262086,0.0,0.013614096,-0.0141920205,0.06612567,-0.002453651,0.03269382,0.0023110441,-0.0010394438,-0.021347163,-0.11006308,1.1906166,0.07022411,0.020974234,-0.0074373437,-0.00022695788,-0.00983899,-0.0034212137,-0.059881933,0.0019893856,0.00010517466,0.0004113672,0.0044274433,-0.0032608309,0.0,-0.023100628,-0.0020002325,-0.0066048866,-0.01392833,0.0016390838,0.00019848702,-0.004162869,-0.0018768583
5,0.1452435,0,0.045211524,0.0062471414,0.005867709,0.0016570955,0.0047577946,-0.08059627,-0.025799327,0.0044079144,-0.0007630375,-0.008577013,0.0016985033,0.0,-0.012158004,-0.01186307,0.052067425,-0.017294616,0.017385177,0.011787743,-0.015376297,0.005243153,0.07651615,-1.775658,-0.008899069,0.0156157855,-0.0028819984,-0.00022695788,-0.001699134,-0.00966865,0.0006470204,0.0015572254,0.00010517466,0.00019890038,0.004044419,-0.0027769844,0.0,-0.012130105,-0.0019001737,-0.039992683,-0.0066420743,0.00065731915,0.00091274607,0.0007523382,-0.0021166892
6,0.1783577,0,0.054895774,-0.0062868306,0.012552286,0.007504953,-0.00346904,0.36424124,-0.0071716886,0.0048040184,-0.0020098109,-0.008902241,-0.010372044,0.0,-0.0107481,0.05282721,-0.047221605,-0.011432892,0.006802305,-0.013132418,0.0054978286,0.0002159714,-0.07514223,-1.7610456,-0.008015766,-0.03756634,-0.0054804846,0.0069356803,-0.0053758416,-0.009504599,0.0032641357,0.0013285178,-0.0006789163,-0.0013458316,0.0020959163,-0.0014462639,0.0,-0.015139678,-0.010976409,-0.023005864,0.003019128,0.00085288344,0.00012230354,-0.0017158454,0.0154360365
7,0.1465451,0,0.031494863,-0.0059172544,-0.002032951,0.0019516303,0.004105982,-0.07103721,-0.030364636,0.0031389624,-0.00044591754,0.00978936,0.0029375644,0.0,-0.011807679,-0.011662846,0.022784157,0.046701916,0.018697217,0.0050150584,-0.001738997,-0.050866693,0.09094372,-1.7610904,-0.008916941,0.015523794,-0.016139712,-0.00022695788,0.0047489586,0.024969406,-0.015809538,-0.03102268,0.0006312103,0.00019890038,0.004844561,-0.0026328044,0.0,-0.013362581,-0.0019981833,-0.02212664,0.0024171425,0.0007678848,-0.0012047028,0.0016247275,-0.0021166892
8,0.6061688,1,0.0996339,-0.0014399727,-0.0021693928,0.0010638976,0.007444278,-0.06418878,-0.004268437,0.005008231,-0.0024152356,-0.017253809,0.005315401,0.0,-0.006843834,0.023828076,0.031649426,-0.00019150376,3.5892124e-05,-0.0066449046,-0.0025367842,-0.00046040653,0.021220686,0.37364236,-0.010635354,0.00884998,-0.017550522,-0.00022695788,-0.0015924008,-0.0040069423,-0.0010557804,0.0023089962,0.0006312103,0.00019890038,0.0041236393,-0.0069725616,0.0,-0.030349769,-0.0022122813,-0.007392245,-0.005155325,0.0010668696,0.00012230354,-0.008838255,0.042217612
9,0.18657883,0,-0.052928884,0.0023152144,-0.0014067047,-0.0007443555,0.0026058753,0.226125,-0.017542714,-0.011815909,0.0018481911,-0.005744923,0.0025621909,0.0,0.046618015,0.021734022,0.0067403517,0.0003937555,0.04549645,-0.005344417,-0.0029274528,-0.005427981,0.084459305,-1.7394373,-0.011672762,0.016158987,0.0021430666,-0.000709526,0.0009258429,-0.00842582,-0.022177346,0.0026040804,6.356338e-05,-0.0004945137,-0.013097509,-0.0026328822,0.0,-0.0137672275,-0.0070449086,-0.02097256,0.0017787112,0.00077917275,0.00091274607,0.00068106217,-0.00230183
